Ano;Sigla da Unidade da Federação;Nome da Unidade da Federação;Nome do Município;Valor adicionado bruto da Agropecuária a preços correntes (R$ 1.000);Valor adicionado bruto da Indústria a preços correntes (R$ 1.000);Valor adicionado bruto dos Serviços a preços correntes (R$ 1.000);Valor adicionado bruto da Administração a preços correntes (R$ 1.000);Impostos, líquidos de subsídios, sobre produtos a preços correntes (R$ 1.000);Produto Interno Bruto per capita a preços correntes (R$ 1,00)
2010;RO;Rondônia;Alta Floresta D'Oeste;69260;16119;62496;93245;20957;10731.18
2010;RO;Rondônia;Ariquemes;73712;287139;494946;343868;165030;15103.86
2010;RO;Rondônia;Cabixi;24301;3253;12677;25170;4210;11033.62
2010;RO;Rondônia;Cacoal;95259;182052;465447;298454;145282;15095.15
2010;RO;Rondônia;Cerejeiras;28976;19734;80725;63018;29567;13037.06
2010;RO;Rondônia;Colorado do Oeste;35818;18306;54678;67462;16829;10380.21
2010;RO;Rondônia;Corumbiara;51206;7946;15591;34013;6013;13038.89
2010;RO;Rondônia;Costa Marques;19816;7732;22863;51078;6093;7852.78
2010;RO;Rondônia;Espigão D'Oeste;56433;34215;88492;102087;30560;10848.19
2010;RO;Rondônia;Guajará-Mirim;18630;22951;273295;156792;126499;14363.13
2010;RO;Rondônia;Jaru;103001;151693;262584;191572;88446;15319.96
2010;RO;Rondônia;Ji-Paraná;72553;317328;784714;410598;270166;15913.94
2010;RO;Rondônia;Machadinho D'Oeste;58164;24631;58463;111859;19085;8750.47
2010;RO;Rondônia;Nova Brasilândia D'Oeste;37229;10916;39381;73122;13004;8750.38
2010;RO;Rondônia;Ouro Preto do Oeste;77935;46098;161803;143687;47979;12585.36
2010;RO;Rondônia;Pimenta Bueno;36971;91904;201280;121975;88732;16023.63
2010;RO;Rondônia;Porto Velho;183897;2648996;3337276;1617722;1305933;21319.08
2010;RO;Rondônia;Presidente Médici;50118;20024;62352;82576;20518;10555.53
2010;RO;Rondônia;Rio Crespo;18632;2606;3950;14684;2063;12645.97
2010;RO;Rondônia;Rolim de Moura;45477;100575;224638;188566;68592;12390.44
2010;RO;Rondônia;Santa Luzia D'Oeste;27568;16087;16202;33346;5614;11120.68
2010;RO;Rondônia;Vilhena;45616;266175;617148;297886;220363;18995.20
2010;RO;Rondônia;São Miguel do Guaporé;69713;84835;63420;82097;24411;14867.85
2010;RO;Rondônia;Nova Mamoré;62857;22139;36735;82471;14228;9685.67
2010;RO;Rondônia;Alvorada D'Oeste;45707;8248;31599;62946;12189;9528.51
